ID,Node,Target,Weight,ProjectID
0,31,30,,25
1,31,21,,4
2,10,26,,29
3,1,3,,22
4,1,34,,22
5,1,35,,22
6,1,36,,22
7,1,37,,22
8,1,38,,22
9,1,39,,22
10,1,40,,22
11,1,32,,22
12,1,10,,22
13,3,34,,22
14,3,35,,22
15,3,36,,22
16,3,37,,22
17,3,38,,22
18,3,39,,22
19,3,40,,22
20,3,32,,22
21,3,10,,22
22,34,35,,22
23,34,36,,22
24,34,37,,22
25,34,38,,22
26,34,39,,22
27,34,40,,22
28,34,32,,22
29,34,10,,22
30,35,36,,22
31,35,37,,22
32,35,38,,22
33,35,39,,22
34,35,40,,22
35,35,32,,22
36,35,10,,22
37,36,37,,22
38,36,38,,22
39,36,39,,22
40,36,40,,22
41,36,32,,22
42,36,10,,22
43,37,38,,22
44,37,39,,22
45,37,40,,22
46,37,32,,22
47,37,10,,22
48,38,39,,22
49,38,40,,22
50,38,32,,22
51,38,10,,22
52,39,40,,22
53,39,32,,22
54,39,10,,22
55,40,32,,22
56,40,10,,22
57,32,10,,22
58,17,34,,2
59,17,41,,2
60,17,6,,2
61,17,1,,2
62,17,42,,2
63,17,35,,2
64,17,43,,2
65,17,38,,2
66,17,44,,2
67,17,23,,2
68,17,3,,2
69,17,32,,2
70,17,45,,2
71,34,41,,2
72,34,6,,2
73,34,1,,2
74,34,42,,2
75,34,35,,2
76,34,43,,2
77,34,38,,2
78,34,44,,2
79,34,23,,2
80,34,3,,2
81,34,32,,2
82,34,45,,2
83,41,6,,2
84,41,1,,2
85,41,42,,2
86,41,35,,2
87,41,43,,2
88,41,38,,2
89,41,44,,2
90,41,23,,2
91,41,3,,2
92,41,32,,2
93,41,45,,2
94,6,1,,2
95,6,42,,2
96,6,35,,2
97,6,43,,2
98,6,38,,2
99,6,44,,2
100,6,23,,2
101,6,3,,2
102,6,32,,2
103,6,45,,2
104,1,42,,2
105,1,35,,2
106,1,43,,2
107,1,38,,2
108,1,44,,2
109,1,23,,2
110,1,3,,2
111,1,32,,2
112,1,45,,2
113,42,35,,2
114,42,43,,2
115,42,38,,2
116,42,44,,2
117,42,23,,2
118,42,3,,2
119,42,32,,2
120,42,45,,2
121,35,43,,2
122,35,38,,2
123,35,44,,2
124,35,23,,2
125,35,3,,2
126,35,32,,2
127,35,45,,2
128,43,38,,2
129,43,44,,2
130,43,23,,2
131,43,3,,2
132,43,32,,2
133,43,45,,2
134,38,44,,2
135,38,23,,2
136,38,3,,2
137,38,32,,2
138,38,45,,2
139,44,23,,2
140,44,3,,2
141,44,32,,2
142,44,45,,2
143,23,3,,2
144,23,32,,2
145,23,45,,2
146,3,32,,2
147,3,45,,2
148,32,45,,2
149,2,36,,18
150,2,23,,18
151,36,23,,18
152,2,36,,19
